platform_id,ptt,time,max_dbar,cnt,num,n_temp,n_photo,temp_dbar,temp_vals,n_cond,cond_dbar,cond_vals,n_sal,sal_dbar,sal_vals,n_fluoro,fluoro_dbar,fluoro_vals,n_oxy,oxy_dbar,oxy_vals,photo_dbar,photo_vals,qc_profile,qc_temp,qc_sal,sal_corrected_vals,created,modified,longitude,latitude
eb04-001-16,120349,8/9/2016 15:44,7.5,0,1,16,0,"2,2.4,2.7,3.1,3.5,3.8,4.2,4.6,4.9,5.3,5.7,6,6.4,6.8,7.1,7.5","4.460,4.460,4.460,4.450,4.450,4.450,4.445,4.431,4.246,3.588,3.588,2.397,2.056,2.006,2.006,2.004",0,,,16,"2,2.4,2.7,3.1,3.5,3.8,4.2,4.6,4.9,5.3,5.7,6,6.4,6.8,7.1,7.5","26.937,26.937,26.937,26.937,26.934,26.934,26.934,26.934,26.935,27.296,27.296,27.728,27.842,27.845,27.845,27.847",0,,,0,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26.937,26.937,26.937,26.937,26.934,26.934,26.934,26.934,26.935,27.296,27.296,27.728,27.842,27.845,27.845,27.847",2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.339841,71.26201232
eb04-001-16,120349,8/10/2016 7:00,9.5,0,5,16,0,"2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5","4.430,4.430,4.424,4.395,4.349,4.218,3.068,3.068,1.860,1.860,1.759,1.712,1.520,1.520,1.520,1.523",0,,,16,"2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5","27.260,27.252,27.242,27.219,27.219,27.219,27.817,27.817,27.939,27.939,27.978,28.015,28.171,28.186,28.208,28.222",0,,,0,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.260,27.252,27.242,27.219,27.219,27.219,27.817,27.817,27.939,27.939,27.978,28.015,28.171,28.186,28.208,28.222",2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.3323394,71.28408094
eb04-001-16,120349,8/10/2016 11:38,7,0,6,16,0,"2,2.3,2.7,3,3.3,3.7,4,4.3,4.7,5,5.3,5.7,6,6.3,6.7,7","4.486,4.486,4.486,4.486,4.486,4.481,4.475,4.475,4.475,4.470,4.470,4.459,4.272,4.272,2.906,1.772",0,,,16,"2,2.3,2.7,3,3.3,3.7,4,4.3,4.7,5,5.3,5.7,6,6.3,6.7,7","27.057,27.057,27.057,27.057,27.057,27.057,27.057,27.057,27.057,27.058,27.058,27.058,27.060,27.060,27.799,28.190",0,,,0,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.057,27.057,27.057,27.057,27.057,27.057,27.057,27.057,27.057,27.058,27.058,27.058,27.060,27.060,27.799,28.190",2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.6817129,71.25949474
eb04-001-16,120349,8/11/2016 19:04,9.5,0,1,16,0,"2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5","3.442,3.379,3.312,3.212,3.085,2.845,2.511,2.224,1.959,1.945,1.880,1.878,1.878,1.878,1.878,1.880",0,,,16,"2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5","27.595,27.611,27.637,27.675,27.725,27.823,27.964,28.096,28.219,28.239,28.242,28.246,28.246,28.246,28.243,28.242",0,,,0,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.595,27.611,27.637,27.675,27.725,27.823,27.964,28.096,28.219,28.239,28.242,28.246,28.246,28.246,28.243,28.242",2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.4012412,71.24793017
eb04-001-16,120349,8/18/2016 11:44,9.5,0,7,16,0,"2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5","4.360,4.360,4.358,4.358,4.346,4.339,4.313,4.152,3.826,3.645,3.598,3.581,3.563,3.503,3.474,3.474",0,,,16,"2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5","27.467,27.467,27.467,27.467,27.467,27.467,27.467,27.527,27.655,27.704,27.740,27.815,27.851,27.912,27.943,27.945",0,,,0,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.467,27.467,27.467,27.467,27.467,27.467,27.467,27.527,27.655,27.704,27.740,27.815,27.851,27.912,27.943,27.945",2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.4148627,71.28490333
eb04-001-16,120349,8/19/2016 10:00,36.5,0,6,16,0,"2,4.3,6.6,8.9,11.2,13.5,15.8,18.1,20.4,22.7,25,27.3,29.6,31.9,34.2,36.5","0.780,0.780,0.783,0.818,1.077,2.157,4.047,3.992,4.078,4.189,4.230,3.612,2.954,2.032,1.084,1.197",0,,,16,"2,4.3,6.6,8.9,11.2,13.5,15.8,18.1,20.4,22.7,25,27.3,29.6,31.9,34.2,36.5","26.739,26.739,26.764,26.792,26.984,27.356,28.340,28.726,28.904,29.083,29.150,29.434,29.584,29.742,30.117,30.243",0,,,0,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26.739,26.739,26.764,26.792,26.984,27.356,28.340,28.726,28.904,29.083,29.150,29.434,29.584,29.742,30.117,30.243",2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.8829668,71.48067175
eb04-001-16,120349,8/19/2016 15:28,43,0,0,16,0,"2,4.7,7.5,10.2,12.9,15.7,18.4,21.1,23.9,26.6,29.3,32.1,34.8,37.5,40.3,43","1.284,1.406,1.673,2.371,2.805,2.916,3.544,3.106,3.101,3.051,2.663,2.626,2.579,2.464,2.278,2.238",0,,,16,"2,4.7,7.5,10.2,12.9,15.7,18.4,21.1,23.9,26.6,29.3,32.1,34.8,37.5,40.3,43","27.132,27.167,27.432,27.567,27.780,28.115,28.637,30.038,30.051,30.074,30.212,30.225,30.232,30.270,30.335,30.354",0,,,0,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.132,27.167,27.432,27.567,27.780,28.115,28.637,30.038,30.051,30.074,30.212,30.225,30.232,30.270,30.335,30.354",2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.7091276,71.50754529
eb04-001-16,120349,8/20/2016 2:02,38,0,5,0,0,,,0,,,16,"2,4.4,6.8,9.2,11.6,14,16.4,18.8,21.2,23.6,26,28.4,30.8,33.2,35.6,38","27.698,27.717,27.818,27.912,28.077,28.224,28.654,28.912,29.190,29.478,29.489,29.510,29.524,29.540,29.638,30.367",0,,,0,,,,,0,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.698,27.717,27.818,27.912,28.077,28.224,28.654,28.912,29.190,29.478,29.489,29.510,29.524,29.540,29.638,30.367",2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.3470377,71.54988671
eb04-001-16,120349,8/20/2016 5:40,67,0,6,18,0,"2,6.3,10.7,15,19.3,23.7,28,32.3,36.7,41,45.3,48,49.7,54,58.3,62.7,66.5,67","2.480,2.357,2.680,2.983,3.365,3.604,3.820,3.526,3.084,2.757,1.504,1.346,1.323,0.897,0.729,0.703,0.590,0.590",0,,,0,,,0,,,0,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.3504826,71.54975734
eb04-001-16,120349,8/20/2016 15:48,20,0,3,16,0,"2,3.2,4.4,5.6,6.8,8,9.2,10.4,11.6,12.8,14,15.2,16.4,17.6,18.8,20","3.716,3.722,3.738,3.741,3.747,3.758,3.771,3.780,3.784,3.797,3.806,3.815,3.832,3.847,3.869,3.920",0,,,16,"2,3.2,4.4,5.6,6.8,8,9.2,10.4,11.6,12.8,14,15.2,16.4,17.6,18.8,20","27.931,27.981,28.079,28.142,28.159,28.190,28.227,28.236,28.259,28.287,28.301,28.323,28.353,28.373,28.401,28.527",0,,,0,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.931,27.981,28.079,28.142,28.159,28.190,28.227,28.236,28.259,28.287,28.301,28.323,28.353,28.373,28.401,28.527",2017-02-09T23:57:26Z,2017-02-09T23:57:40Z,-155.542415,71.51574596
