platform_id,ptt,time,location_class,li,latitude,longitude,alt_lat,alt_lon,number_messages,number_messages_gt_120db,best_level,duration,dist,frequency,v_mask,alt,source,est_speed,km_from_home,old_lq,location_quality_index,nops,deleted,actual_ptt,km_from_haul,sst,error_radius,semi_major_axis,semi_minor_axis,ellipse_orientation,hdop,satellite,diag_id,z
eb04-001-16,120349,8/7/2016 20:42,2,,70.83011,-155.43321,70.83011,-155.43321,4,0,-121,398,,401677715.5,20,,,0.01,825.612,,50,3,,120349,,,354,1604,78,103,431,MA,20734934,0
eb04-001-16,120349,8/7/2016 20:46,B,,70.82051,-155.40597,70.82051,-155.40598,1,0,-137,0,,401677718.5,0,,,0.02,283.027,,6,3,,120349,,,4500,92258,219,109,7474,NN,20734935,0
eb04-001-16,120349,8/7/2016 23:11,B,,70.81931,-155.4037,70.81931,-155.4037,1,0,-135,0,,401677716.9,0,,,0.03,283.044,,8,3,,120349,,,3845,16499,895,104,8507,NP,20737387,0
eb04-001-16,120349,8/8/2016 4:03,B,,70.81957,-155.42008,70.81957,-155.42007,1,0,-128,0,,401677717.1,0,,,0.21,282.516,,8,2,,120349,,,3151,22036,450,93,8040,NK,20772355,0
eb04-001-16,120349,8/8/2016 5:05,B,,70.82257,-155.45813,70.82257,-155.45813,1,0,-126,0,,401677708,0,,,0.32,281.407,,8,3,,120349,,,3089,24723,385,92,8734,MA,20777187,0
eb04-001-16,120349,8/8/2016 5:49,1,,70.82066,-155.44025,70.82066,-155.44025,6,0,-127,367,,401677704.1,0,,,0.48,281.904,,58,3,,120349,,,519,13379,20,78,794,MB,20779578,0
eb04-001-16,120349,8/8/2016 6:37,B,,70.83662,-155.4651,70.83662,-155.4651,2,0,-124,186,,401677699.3,0,,,0.47,281.862,,8,2,,120349,,,1040,39321,27,81,2049,MA,20781962,0
eb04-001-16,120349,8/8/2016 7:09,A,,70.8407,-155.46875,70.8407,-155.46875,3,0,-127,483,,401677700.9,0,,,0.15,281.943,,8,3,,120349,,,344,3398,34,85,929,SR,20781963,0
eb04-001-16,120349,8/8/2016 11:19,3,,70.84696,-155.46098,70.84696,-155.46098,8,0,-130,373,,401677699.4,0,,,0.08,282.506,,58,3,,120349,,,201,335,120,104,452,NP,20789057,0
eb04-001-16,120349,8/8/2016 14:43,1,,70.8457,-155.49502,70.8457,-155.49503,5,0,-130,312,,401677701,0,,,0.09,281.329,,58,3,,120349,,,1445,148075,14,98,3048,NP,20800718,0
eb04-001-16,120349,8/8/2016 18:58,3,,70.83946,-155.46524,70.83946,-155.46524,10,0,-123,577,,401677701.2,0,,,0.12,281.997,,58,2,,120349,,,140,867,22,102,244,NN,20812700,0
eb04-001-16,120349,8/8/2016 19:16,3,,70.84087,-155.46794,70.84087,-155.46794,8,0,-127,597,,401677701.9,0,,,0.23,281.978,,56,3,,120349,,,168,743,38,102,177,NK,20812701,0
eb04-001-16,120349,8/8/2016 19:42,3,,70.84432,-155.46108,70.84432,-155.46107,8,0,-129,470,,401677702,0,,,0.22,282.372,,56,3,,120349,,,127,364,44,93,201,NP,20812702,0
eb04-001-16,120349,8/8/2016 20:55,2,,70.84433,-155.47815,70.84433,-155.47815,7,0,-127,334,,401677710.3,0,,,0.11,281.814,,58,3,,120349,,,251,1026,61,111,363,NK,20817582,0
eb04-001-16,120349,8/8/2016 21:21,B,,70.84488,-155.48092,70.84488,-155.48093,1,0,-128,0,,401677706.6,0,,,-1,281.789,,6,3,,120349,,,1116,3362,370,90,1979,MB,20817583,0
eb04-001-16,120349,8/8/2016 21:21,B,,70.84507,-155.48001,70.84507,-155.48001,1,0,-124,0,,401677710.1,0,,,-1,281.789,,0,3,,120349,,,1005,3117,323,90,1950,NP,20817584,0
eb04-001-16,120349,8/9/2016 0:00,B,,70.93329,-155.59041,70.93329,-155.59041,2,0,-133,169,,401677693.6,20,,,,,,8,3,,120349,,,1311,48521,35,81,3159,NN,20845050,0
eb04-001-16,120349,8/9/2016 0:15,A,,70.95169,-155.51392,70.95169,-155.51392,3,0,-128,360,,401677702.6,0,,,1.03,286.171,,6,3,,120349,,,182,1126,29,89,404,NK,20845051,0
eb04-001-16,120349,8/9/2016 0:43,3,,70.96496,-155.50018,70.96496,-155.50018,6,0,-127,532,,401677700.9,0,,,1.14,287.318,,66,3,,120349,,,135,731,24,91,200,NP,20854679,0
eb04-001-16,120349,8/9/2016 1:18,3,,70.99017,-155.51157,70.99017,-155.51157,4,0,-127,534,,401677699.1,0,,,0.9,288.321,,58,3,,120349,,,227,1041,49,92,323,MA,20854680,0
eb04-001-16,120349,8/9/2016 1:35,2,,70.99411,-155.50758,70.99411,-155.50758,5,0,-125,592,,401677702.3,0,,,0.95,288.662,,56,3,,120349,,,311,1443,67,77,266,NN,20854681,0
eb04-001-16,120349,8/9/2016 1:53,A,,71.00725,-155.49493,71.00725,-155.49493,3,0,-128,421,,401677701.1,0,,,1.18,289.781,,8,3,,120349,,,220,938,51,85,531,NK,20854682,0
eb04-001-16,120349,8/9/2016 5:01,3,,71.0974,-155.43364,71.0974,-155.43364,4,0,-129,344,,401677703.8,0,,,0.79,296.759,,68,3,,120349,,,161,375,69,100,355,NN,20859573,0
eb04-001-16,120349,8/9/2016 5:04,3,,71.09853,-155.43383,71.09853,-155.43382,5,0,-123,512,,401677702.4,0,,,0.91,296.819,,56,3,,120349,,,123,630,23,94,193,SR,20859574,0
eb04-001-16,120349,8/9/2016 5:14,B,,71.104,-155.42294,71.104,-155.42294,2,0,-131,349,,401677701.7,0,,,1.51,297.468,,6,3,,120349,,,342,1265,92,120,921,NK,20859575,0
eb04-001-16,120349,8/9/2016 5:28,2,,71.11317,-155.45401,71.11317,-155.45401,4,0,-130,356,,401677700,0,,,1.49,297.04,,56,3,,120349,,,335,7883,14,77,902,MB,20859576,0
eb04-001-16,120349,8/9/2016 6:15,A,,71.1407,-155.43117,71.1407,-155.43117,3,0,-122,528,,401677699.7,0,,,0.92,299.347,,8,3,,120349,,,388,13542,11,81,1053,MA,20859577,0
eb04-001-16,120349,8/9/2016 6:44,3,,71.15196,-155.43154,71.15196,-155.43153,4,0,-125,368,,401677698.4,0,,,0.6,299.999,,56,2,,120349,,,230,1938,27,102,358,SR,20859578,0
eb04-001-16,120349,8/9/2016 9:39,B,,71.19653,-155.45728,71.19653,-155.45728,2,0,-127,157,,401677693.1,0,,,1.09,301.881,,8,3,,120349,,,1248,18715,83,102,3517,MA,20867069,0
eb04-001-16,120349,8/9/2016 10:02,A,,71.19043,-155.3945,71.19043,-155.3945,3,0,-135,286,,401677701.2,0,,,1.18,303.409,,6,3,,120349,,,223,494,100,58,552,SR,20867070,0
eb04-001-16,120349,8/9/2016 12:45,B,,71.24831,-155.36325,71.24831,-155.36325,1,0,-129,0,,401677713.8,0,,,0.45,307.854,,8,3,,120349,,,1713,5215,562,88,4836,NP,20874707,0
eb04-001-16,120349,8/9/2016 13:55,B,,71.23962,-155.36932,71.23962,-155.36932,1,0,-129,0,,401677712.4,0,,,0.4,307.141,,8,3,,120349,,,2819,5508,1442,82,7967,NK,20877262,0
eb04-001-16,120349,8/9/2016 14:33,B,,71.24966,-155.35143,71.24966,-155.35143,1,0,-131,0,,401677706.7,0,,,0.45,308.29,,8,3,,120349,,,2815,4670,1696,85,7956,NP,20877263,0
eb04-001-16,120349,8/9/2016 16:40,B,,71.27183,-155.33063,71.27183,-155.33063,1,0,-126,0,,401677694,0,,,-1,308.634,,8,3,,120349,,,2205,8563,567,99,6228,SR,20887387,0
eb04-001-16,120349,8/9/2016 16:40,B,,71.24676,-155.334,71.24676,-155.334,1,0,-132,0,,401677708.5,0,,,-1,308.634,,0,3,,120349,,,2000,9076,440,95,5649,MA,20887388,0
eb04-001-16,120349,8/9/2016 18:22,B,,71.24665,-155.33374,71.24665,-155.33374,1,0,-128,0,,401677708.5,0,,,0.38,308.635,,8,3,,120349,,,2359,9759,570,94,6666,MA,20892398,0
eb04-001-16,120349,8/9/2016 20:07,B,,71.28954,-155.31361,71.28954,-155.31361,1,0,-135,0,,401677713.8,0,,,0.56,311.874,,8,3,,120349,,,2711,9342,786,90,7662,MA,20897293,0
eb04-001-16,120349,8/9/2016 23:54,B,,71.25863,-155.22336,71.25863,-155.22336,1,0,-129,0,,401677707.5,0,,,0.85,312.672,,8,3,,120349,,,3070,7001,1346,67,8679,NK,20929704,0
eb04-001-16,120349,8/10/2016 1:07,B,,71.30978,-155.17268,71.30978,-155.17268,1,0,-133,0,,401677707.5,0,,,0.72,317.308,,8,3,,120349,,,4444,14095,1401,53,12568,SR,20927191,0
eb04-001-16,120349,8/10/2016 4:52,B,,71.30064,-155.15926,71.30064,-155.15926,1,0,-130,0,,401677699.2,0,,,0.46,317.146,,8,3,,120349,,,2510,11903,529,82,7094,NK,20944917,0
